"Unit_No","Obs_No","SAMPLE_NO","collected_date","Chem_Code","Chem_Name","Chem_Value","Chem_Unit_Code"
"5941-1","WRA002",1705565,"26/02/1915","Ca","Calcium",247,"mg/L"
"5941-1","WRA002",1705565,"26/02/1915","Cl","Chloride",1184,"mg/L"
"5941-1","WRA002",1705565,"26/02/1915","CO3","Carbonate",146,"mg/L"
"5941-1","WRA002",1705565,"26/02/1915","HARD","Total Hardness as CaCO3",1103,"mg/L"
"5941-1","WRA002",1705565,"26/02/1915","Mg","Magnesium",117,"mg/L"
"5941-1","WRA002",1705565,"26/02/1915","Na","Sodium",701,"mg/L"
"5941-1","WRA002",1705565,"26/02/1915","SiO2","Silicon Dioxide; Silica (reactive) (water analysis)",14,"mg/L"
"5941-1","WRA002",1705565,"26/02/1915","SO4","Sulphate",752,"mg/L"
"5941-1","WRA002",1705565,"26/02/1915","TDS_CALC","Total Dissolved Solids - Calculated",3212,"mg/L"
"5941-1","WRA002",1705566,"16/11/1922","Ca","Calcium",244,"mg/L"
"5941-1","WRA002",1705566,"16/11/1922","Cl","Chloride",1169,"mg/L"
"5941-1","WRA002",1705566,"16/11/1922","CO3","Carbonate",133,"mg/L"
"5941-1","WRA002",1705566,"11/16/1922","HARD","Total Hardness as CaCO3",1088,"mg/L"
"5941-1","WRA002",1705566,"16/11/1922","Mg","Magnesium",115,"mg/L"
"5941-1","WRA002",1705566,"16/11/1922","Na","Sodium",730,"mg/L"
"5941-1","WRA002",1705566,"16/11/1922","SiO2","Silicon Dioxide; Silica (reactive) (water analysis)",23,"mg/L"
"5941-1","WRA002",1705566,"16/11/1922","SO4","Sulphate",775,"mg/L"
"5941-1","WRA002",1705566,"16/11/1922","TDS_CALC","Total Dissolved Solids - Calculated",3188,"mg/L"
"5941-1","WRA002",1705567,"18/09/1923","Ca","Calcium",247,"mg/L"
"5941-1","WRA002",1705567,"18/09/1923","Cl","Chloride",1167,"mg/L"
"5941-1","WRA002",1705567,"18/09/1923","CO3","Carbonate",135,"mg/L"
"5941-1","WRA002",1705567,"18/09/1923","HARD","Total Hardness as CaCO3",1109,"mg/L"
"5941-1","WRA002",1705567,"18/09/1923","Mg","Magnesium",118,"mg/L"
"5941-1","WRA002",1705567,"18/09/1923","Na","Sodium",724,"mg/L"
"5941-1","WRA002",1705567,"18/09/1923","SiO2","Silicon Dioxide; Silica (reactive) (water analysis)",13,"mg/L"
"5941-1","WRA002",1705567,"18/09/23","SO4","Sulphate",782,"mg/L"
"5941-1","WRA002",1705567,"18/09/1923","TDS_CALC","Total Dissolved Solids - Calculated",3186,"mg/L"
"5941-1","WRA002",1705568,"10/09/1928","Ca","Calcium",235,"mg/L"
"5941-1","WRA002",1705568,"10/09/1928","Cl","Chloride",1190,"mg/L"
"5941-1","WRA002",1705568,"10/09/1928","CO3","Carbonate",131,"mg/L"
"5941-1","WRA002",1705568,"10/09/1928","HARD","Total Hardness as CaCO3",1064,"mg/L"
"5941-1","WRA002",1705568,"10/09/1928","Mg","Magnesium",116,"mg/L"
"5941-1","WRA002",1705568,"10/09/1928","Na","Sodium",753,"mg/L"
"5941-1","WRA002",1705568,"10/09/1928","SO4","Sulphate",773,"mg/L"
"5941-1","WRA002",1705568,"10.09.1928","TDS_CALC","Total Dissolved Solids - Calculated",3197,"mg/L"
"5941-1","WRA002",85277,"15/11/1986","ALK","Alkanity as CaCO3",218,"mg/L"
"5941-1","WRA002",85277,"15/11/1986","Ca","Calcium",250,"mg/L"
"5941-1","WRA002",85277,"15/11/1986","CARB","Carbonate Hardness as CaCO3",218,"mg/L"
"5941-1","WRA002",85277,"15/11/1986","Cl","Chloride",1180,"mg/L"
"5941-1","WRA002",85277,"15/11/1986","DST","Sodium/Total Cations Ratio",3,"%"
"5941-1","WRA002",85277,"11/15/1986","EC","Electroconductivity",5200,"us/cm"
"5941-1","WRA002",85277,"15.11.1986","HARD","Total Hardness as CaCO3",1090,"mg/L"
"5941-1","WRA002",85277,"15/11/1986","HCO3","Bicarbonate",266,"mg/L"
"5941-1","WRA002",85277,"1986-11-15","K","Potassium",35,"mg/L"
"5941-1","WRA002",85277,"15/11/1986","Mg","Magnesium",112,"mg/L"
"5941-1","WRA002",85277,"31731","Na","Sodium",710,"mg/L"
"5941-1","WRA002",85277,"15/11/1986","NO3(N)","Nitrate as N",0.1,"mg/L"
"5941-1","WRA002",85277,"15/11/1986","NONCARB","Non-Carbonate Hardness as CaCO3",867,"mg/L"
"5941-1","WRA002",85277,"15/11/1986","pH","Acidity/Alkalinity",7.4,"pH"
"5941-1","WRA002",85277,"15/11/1986","RESIST","Resistivity",1.9,"ohm/m"
"5941-1","WRA002",85277,"15/11/1986","SAR","Sodium Adsorption Ratio",57.8,"RATIO"
"5941-1","WRA002",85277,"15/11/1986","SO4","Sulphate",820,"mg/L"
"5941-1","WRA002",85277,"15/11/1986","TDS_CALC","Total Dissolved Solids - Calculated",3240,"mg/L"
"5941-1","WRA002",85277,"15/11/1986","TDS_EC","Total Dissolved Solids - Based on EC",3040,"mg/L"
"5941-1","WRA002",1705569,"19/01/1998","Br","Bromide",3.8,"mg/L"
"5941-1","WRA002",1705569,"19/01/1998","Ca","Calcium",340,"mg/L"
"5941-1","WRA002",1705569,"19/01/1998","Cl","Chloride",1250,"mg/L"
"5941-1","WRA002",1705569,"19/01/1998","Fe","Iron: Iron Total (water analysis)",0.1,"mg/L"
"5941-1","WRA002",1705569,"19/01/1998","HCO3","Bicarbonate",268.4,"mg/L"
"5941-1","WRA002",1705569,"19/01/1998","K","Potassium",46,"mg/L"
"5941-1","WRA002",1705569,"19/01/1998","Mg","Magnesium",100,"mg/L"
"5941-1","WRA002",1705569,"19/01/1998","Na","Sodium",670,"mg/L"
"5941-1","WRA002",1705569,"19/01/1998","SiO2","Silicon Dioxide; Silica (reactive) (water analysis)",6.2,"mg/L"
"5941-1","WRA002",1705569,"19/01/1998","SO4","Sulphate",230,"mg/L"
"5941-1","WRA002",1705569,"19/01/1998","TDS_CALC","Total Dissolved Solids - Calculated",2914.4,"mg/L"
"5941-6","WRA003",1705573,"08/09/1980","ALK","Alkanity as CaCO3",121,"mg/L"
"5941-6","WRA003",1705573,"08/09/1980","Ca","Calcium",110,"mg/L"
"5941-6","WRA003",1705573,"08/09/1980","CARB","Carbonate Hardness as CaCO3",121,"mg/L"
"5941-6","WRA003",1705573,"08/09/1980","Cl","Chloride",961,"mg/L"
"5941-6","WRA003",1705573,"08/09/1980","DST","Sodium/Total Cations Ratio",75.1,"%"
"5941-6","WRA003",1705573,"08/09/1980","EC","Electroconductivity",3970,"us/cm"
"5941-6","WRA003",1705573,"08/09/1980","HARD","Total Hardness as CaCO3",513,"mg/L"
"5941-6","WRA003",1705573,"08 Sep 1980","HCO3","Bicarbonate",148,"mg/L"
"5941-6","WRA003",1705573,"08/09/1980","K","Potassium",28.5,"mg/L"
"5941-6","WRA003",1705573,"08/09/1980","Mg","Magnesium",58,"mg/L"
"5941-6","WRA003",1705573,"08/09/1980","Na","Sodium",760,"mg/L"
"5941-6","WRA003",1705573,"08/09/1980","NO3","Nitrate",1,"mg/L"
"5941-6","WRA003",1705573,"08/09/1980","NONCARB","Non-Carbonate Hardness as CaCO3",392,"mg/L"
"5941-6","WRA003",1705573,"08/09/1980","pH","Acidity/Alkalinity",7.7,"pH"
"5941-6","WRA003",1705573,"08/09/1980","SO4","Sulphate",680,"mg/L"
"5941-6","WRA003",1705573,"08/09/1980","TDS_CALC","Total Dissolved Solids - Calculated",2670,"mg/L"
"5941-6","WRA003",85283,"14/11/1986","ALK","Alkanity as CaCO3",219,"mg/L"
"5941-6","WRA003",85283,"14/11/1986","Ca","Calcium",150,"mg/L"
"5941-6","WRA003",85283,"14/11/1986","CARB","Carbonate Hardness as CaCO3",597,"mg/L"
"5941-6","WRA003",85283,"14/11/1986","Cl","Chloride",397,"mg/L"
"5941-6","WRA003",85283,"14/11/1986","DST","Sodium/Total Cations Ratio",3,"%"
"5941-6","WRA003",85283,"14/11/1986","EC","Electroconductivity",4270,"us/cm"
"5941-6","WRA003",85283,"14/11/1986","HARD","Total Hardness as CaCO3",597,"mg/L"
"5941-6","WRA003",85283,"14/11/1986","HCO3","Bicarbonate",267,"mg/L"
"5941-6","WRA003",85283,"14/11/1986","K","Potassium",20,"mg/L"
"5941-6","WRA003",85283,"31730","Mg","Magnesium",54,"mg/L"
"5941-6","WRA003",85283,"14.11.1986","Na","Sodium",715,"mg/L"
"5941-6","WRA003",85283,"14/11/1986","NO3(N)","Nitrate as N",0.1,"mg/L"
"5941-6","WRA003",85283,"14/11/1986","pH","Acidity/Alkalinity",7.7,"pH"
"5941-6","WRA003",85283,"14/11/1986","RESIST","Resistivity",2.3,"ohm/m"
"5941-6","WRA003",85283,"14/11/1986","SAR","Sodium Adsorption Ratio",71.4,"RATIO"
"5941-6","WRA003",85283,"14/11/1986","SO4","Sulphate",620,"mg/L"
"5941-6","WRA003",85283,"14/11/1986","TDS_CALC","Total Dissolved Solids - Calculated",2630,"mg/L"
"5941-6","WRA003",85283,"14/11/1986","TDS_EC","Total Dissolved Solids - Based on EC",2470,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","ALK","Alkanity as CaCO3",213,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","Br","Bromide",2.9,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","Ca","Calcium",149,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","CARB","Carbonate Hardness as CaCO3",213,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","Cl","Chloride",940,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","CO2","Carbon Dioxide: Free Carbon Dioxide (water analysis)",10,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","DST","Sodium/Total Cations Ratio",66.9,"%"
"5941-6","WRA003",1705574,"05/09/1995","EC","Electroconductivity",4650,"us/cm"
"5941-6","WRA003",1705574,"05/09/1995","F","Fluoride",0.55,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","HARD","Total Hardness as CaCO3",614,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","HCO3","Bicarbonate",260,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","K","Potassium",28.9,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","Mg","Magnesium",58.6,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","Na","Sodium",682,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","NO3","Nitrate",0.01,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","NONCARB","Non-Carbonate Hardness as CaCO3",401,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","pH","Acidity/Alkalinity",7.6,"pH"
"5941-6","WRA003",1705574,"05/09/1995","SiO2","Silicon Dioxide; Silica (reactive) (water analysis)",17,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","SO4","Sulphate",612,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","TDS_CALC","Total Dissolved Solids - Calculated",2620,"mg/L"
"5941-6","WRA003",1705574,"05/09/1995","TDS_EC","Total Dissolved Solids - Based on EC",2600,"mg/L"
"6040-21","WRA027",85465,"04/10/1988","ALK","Alkanity as CaCO3",370,"mg/L"
"6040-21","WRA027",85465,"04/10/1988","Ca","Calcium",149,"mg/L"
