"Blocks","Nitrogen","Subplots","Variety","Wplots","yield","Column","Row","nrate"
"1","0.6_cwt","1","Marvellous","1",156,"1","1",0.6
"1","0.4_cwt","2","Marvellous","1",118,"2","1",0.4
"1","0.2_cwt","3","Marvellous","1",140,"1","2",0.2
"1","0_cwt","4","Marvellous","1",105,"2","2",0
"1","0_cwt","1","Victory","2",111,"1","3",0
"1","0.2_cwt","2","Victory","2",130,"2","3",0.2
"1","0.6_cwt","3","Victory","2",174,"1","4",0.6
"1","0.4_cwt","4","Victory","2",157,"2","4",0.4
"1","0_cwt","1","Golden_rain","3",117,"1","5",0
"1","0.2_cwt","2","Golden_rain","3",114,"2","5",0.2
"1","0.4_cwt","3","Golden_rain","3",161,"1","6",0.4
"1","0.6_cwt","4","Golden_rain","3",141,"2","6",0.6
"2","0.4_cwt","1","Marvellous","1",104,"1","7",0.4
"2","0_cwt","2","Marvellous","1",70,"2","7",0
"2","0.2_cwt","3","Marvellous","1",89,"1","8",0.2
"2","0.6_cwt","4","Marvellous","1",117,"2","8",0.6
"2","0.6_cwt","1","Victory","2",122,"1","9",0.6
"2","0_cwt","2","Victory","2",74,"2","9",0
"2","0.2_cwt","3","Victory","2",89,"1","10",0.2
"2","0.4_cwt","4","Victory","2",81,"2","10",0.4
"2","0.2_cwt","1","Golden_rain","3",103,"1","11",0.2
"2","0_cwt","2","Golden_rain","3",64,"2","11",0
"2","0.4_cwt","3","Golden_rain","3",132,"1","12",0.4
"2","0.6_cwt","4","Golden_rain","3",133,"2","12",0.6
"3","0.2_cwt","1","Golden_rain","1",108,"1","13",0.2
"3","0.4_cwt","2","Golden_rain","1",126,"2","13",0.4
"3","0.6_cwt","3","Golden_rain","1",149,"1","14",0.6
"3","0_cwt","4","Golden_rain","1",70,"2","14",0
"3","0.6_cwt","1","Marvellous","2",144,"1","15",0.6
"3","0.2_cwt","2","Marvellous","2",124,"2","15",0.2
"3","0.4_cwt","3","Marvellous","2",121,"1","16",0.4
"3","0_cwt","4","Marvellous","2",96,"2","16",0
"3","0_cwt","1","Victory","3",61,"1","17",0
"3","0.6_cwt","2","Victory","3",100,"2","17",0.6
"3","0.2_cwt","3","Victory","3",91,"1","18",0.2
"3","0.4_cwt","4","Victory","3",97,"2","18",0.4
"4","0.4_cwt","1","Marvellous","1",109,"3","1",0.4
"4","0.6_cwt","2","Marvellous","1",99,"4","1",0.6
"4","0_cwt","3","Marvellous","1",63,"3","2",0
"4","0.2_cwt","4","Marvellous","1",70,"4","2",0.2
"4","0_cwt","1","Golden_rain","2",80,"3","3",0
"4","0.4_cwt","2","Golden_rain","2",94,"4","3",0.4
"4","0.6_cwt","3","Golden_rain","2",126,"3","4",0.6
"4","0.2_cwt","4","Golden_rain","2",82,"4","4",0.2
"4","0.2_cwt","1","Victory","3",90,"3","5",0.2
"4","0.4_cwt","2","Victory","3",100,"4","5",0.4
"4","0.6_cwt","3","Victory","3",116,"3","6",0.6
"4","0_cwt","4","Victory","3",62,"4","6",0
"5","0.6_cwt","1","Golden_rain","1",96,"3","7",0.6
"5","0_cwt","2","Golden_rain","1",60,"4","7",0
"5","0.4_cwt","3","Golden_rain","1",89,"3","8",0.4
"5","0.2_cwt","4","Golden_rain","1",102,"4","8",0.2
"5","0.4_cwt","1","Victory","2",112,"3","9",0.4
"5","0.6_cwt","2","Victory","2",86,"4","9",0.6
"5","0_cwt","3","Victory","2",68,"3","10",0
"5","0.2_cwt","4","Victory","2",64,"4","10",0.2
"5","0.4_cwt","1","Marvellous","3",132,"3","11",0.4
"5","0.6_cwt","2","Marvellous","3",124,"4","11",0.6
"5","0.2_cwt","3","Marvellous","3",129,"3","12",0.2
"5","0_cwt","4","Marvellous","3",89,"4","12",0
"6","0.4_cwt","1","Victory","1",118,"3","13",0.4
"6","0_cwt","2","Victory","1",53,"4","13",0
"6","0.6_cwt","3","Victory","1",113,"3","14",0.6
"6","0.2_cwt","4","Victory","1",74,"4","14",0.2
"6","0.6_cwt","1","Golden_rain","2",104,"3","15",0.6
"6","0.4_cwt","2","Golden_rain","2",86,"4","15",0.4
"6","0_cwt","3","Golden_rain","2",89,"3","16",0
"6","0.2_cwt","4","Golden_rain","2",82,"4","16",0.2
"6","0_cwt","1","Marvellous","3",97,"3","17",0
"6","0.2_cwt","2","Marvellous","3",99,"4","17",0.2
"6","0.4_cwt","3","Marvellous","3",119,"3","18",0.4
"6","0.6_cwt","4","Marvellous","3",121,"4","18",0.6
